product_id,product_name,price_value,currency,regular_price,discount_percent,brand,sku,product_url,image_url,description,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size,product_name_normalized,model,category,specifications,product_signature
prod_00564,Pc Portable Gamer HP Victus Gaming 16-R1004nk / i5-14450HX / RTX 3050 6G / 32 Go DDR5 / 512 Go SSD / Windows 11 / Noir,3059.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/85828-pc-portable-gamer-hp-victus-gaming-16-r1004nk-i5-14450hx-rtx-3050-6g-32-go-ddr5-512-go-ssd-windows-11-noir.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.291468,i5-14450HX,RTX 3050 6G,32.0,32 Go SSD,,pc portable gamer hp victus gaming 16-r1004nk / i5-14450hx / rtx 3050 6g / 32 go ddr5 / 512 go ssd / windows 11 / noir,PC PORTABLE GAMER,Laptop,"{""ram"": ""32GB"", ""storage"": ""512 GO SSD""}",hp_pcportablegamer_32gb
prod_00565,Pc Portable Gamer ASUS TUF Gaming F16 2025 / Core 5 210H / RTX 3050 6G / 8 Go / 512 Go SSD / Windows 11 / Gris,3059.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/91470-pc-portable-gamer-asus-tuf-gaming-f16-2025-core-5-210h-rtx-3050-6g-8-go-512-go-ssd-windows-11-gris.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.288468,,RTX 3050 6G,8.0,8 Go SSD,,pc portable gamer asus tuf gaming f16 2025 / core 5 210h / rtx 3050 6g / 8 go / 512 go ssd / windows 11 / gris,PC PORTABLE GAMER,Laptop,"{""storage"": ""512 GO SSD""}",asus_pcportablegamer
prod_00566,Pc Portable Gamer Dell Alienware 16 Aurora / Core 5 210H / RTX 3050 6G / 24 Go DDR5 / 512 Go SSD / Bleu,3059.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/90401-pc-portable-gamer-dell-alienware-16-aurora-core-5-210h-rtx-3050-6g-24-go-ddr5-512-go-ssd-bleu.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.286468,,RTX 3050 6G,24.0,24 Go SSD,,pc portable gamer dell alienware 16 aurora / core 5 210h / rtx 3050 6g / 24 go ddr5 / 512 go ssd / bleu,PC PORTABLE GAMER,Laptop,"{""ram"": ""24GB"", ""storage"": ""512 GO SSD""}",alienware_pcportablegamer_24gb
prod_00567,Pc Portable Gamer HP Victus Gaming 16-R1004nk / i5-14450HX / RTX 3050 6G / 32 Go DDR5 / 512 Go SSD / Windows 11+ SAC A DOS Hyper X Delta OFFERTE,3059.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/88870-pc-portable-gamer-hp-victus-gaming-16-r1004nk-i5-14450hx-rtx-3050-6g-32-go-ddr5-512-go-ssd-windows-11.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.283468,i5-14450HX,RTX 3050 6G,32.0,32 Go SSD,,pc portable gamer hp victus gaming 16-r1004nk / i5-14450hx / rtx 3050 6g / 32 go ddr5 / 512 go ssd / windows 11 sac a dos hyper x delta offerte,PC PORTABLE GAMER,Laptop,"{""ram"": ""32GB"", ""storage"": ""512 GO SSD""}",hp_pcportablegamer_32gb
prod_00568,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 32 Go DDR5 / 512 Go SSD / Noir,3049.0,TND,3359.0,9.23,,,https://www.tunisianet.com.tn/pc-portable-tunisie/84457-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-32-go-ddr5-512-go-ssd-noir.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.280469,,RTX 3050 6G,32.0,32 Go SSD,,pc portable gamer asus v16 v3607vj / intel core 5 210h / rtx 3050 6g / 32 go ddr5 / 512 go ssd / noir,PC PORTABLE GAMER,Laptop,"{""ram"": ""32GB"", ""storage"": ""512 GO SSD""}",intel_pcportablegamer_32gb
prod_00569,Pc Portable Gamer MSI Thin 15 B13UDX / i7-13620H / RTX 3050 6G / 24 Go / 512 Go SSD / Gris,3029.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/89786-pc-portable-gamer-msi-thin-15-b13udx-i7-13620h-rtx-3050-6g-24-go-512-go-ssd-gris.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.277468,i7-13620H,RTX 3050 6G,24.0,24 Go SSD,,pc portable gamer msi thin 15 b13udx / i7-13620h / rtx 3050 6g / 24 go / 512 go ssd / gris,PC PORTABLE GAMER,Laptop,"{""storage"": ""512 GO SSD""}",msi_pcportablegamer
prod_00570,Portable Gaming HP Victus Gaming 15-fa2028nk / i5-14450HX / RTX 3050 6G / 32 Go / 512 Go SSD / Windows 11 / GRis,3009.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/90747-portable-gaming-hp-victus-gaming-15-fa2028nk-i5-14450hx-rtx-3050-6g-32-go-512-go-ssd-windows-11-gris.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.274468,i5-14450HX,RTX 3050 6G,32.0,32 Go SSD,,portable gaming hp victus gaming 15-fa2028nk / i5-14450hx / rtx 3050 6g / 32 go / 512 go ssd / windows 11 / gris,PORTABLE GAMING VICTUS,Laptop,"{""storage"": ""512 GO SSD""}",hp_portablegamingv
prod_00571,Pc Portable Gamer MSI Thin 15 B13UDX / i5-13420H / RTX 3050 6G / 32 Go / 512 Go SSD / Windows 11 Pro / Gris,2989.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/90473-pc-portable-gamer-msi-thin-15-b13udx-i5-13420h-rtx-3050-6g-32-go-512-go-ssd-windows-11-pro-gris.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.271483,i5-13420H,RTX 3050 6G,32.0,32 Go SSD,,pc portable gamer msi thin 15 b13udx / i5-13420h / rtx 3050 6g / 32 go / 512 go ssd / windows 11 pro / gris,PC PORTABLE GAMER,Laptop,"{""storage"": ""512 GO SSD""}",msi_pcportablegamer
prod_00572,Pc Portable Gamer Lenovo LOQ 15IAX9 / i5-12600HX / RTX 3050 6G / 24 Go DDR5 / 512 Go SSD / Windows 11 / Gris,2979.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/90918-pc-portable-gamer-lenovo-loq-15iax9-i5-12600hx-rtx-3050-6g-24-go-ddr5-512-go-ssd-windows-11-gris.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.268486,i5-12600HX,RTX 3050 6G,24.0,24 Go SSD,,pc portable gamer lenovo loq 15iax9 / i5-12600hx / rtx 3050 6g / 24 go ddr5 / 512 go ssd / windows 11 / gris,PC PORTABLE GAMER,Laptop,"{""ram"": ""24GB"", ""storage"": ""512 GO SSD""}",lenovo_pcportablegamer_24gb
prod_00573,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 32 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac à dos MSI Offert,2979.0,TND,,0.0,,,https://www.tunisianet.com.tn/pc-portable-tunisie/81106-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.html,,,False,tunisianet,Tunisia,2026-01-02T16:31:43.265468,i7-13620H,RTX 2050 4G,32.0,32 Go SSD,,pc portable gamer msi thin 15 b13u / i7-13620h / rtx 2050 4g / 32 go / 512 go ssd / windows 11 pro / gris cosmos sac a dos msi offert,PC PORTABLE GAMER,Laptop,"{""storage"": ""512 GO SSD""}",msi_pcportablegamer
