id,title,price,currency,regular_price,discount_percent,brand,sku,url,image,description,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
66564,PC Portable HP 15-fd0421nk Intel N100 4Go 256Go SSD - Noir,799.0,TND,,0.0,HP,[BU8T3EA],https://www.mytek.tn/pc-portable-hp-15-fd0421nk-intel-n100-4go-256go-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0421nk-intel-n100-4go-256go-ssd-noir.jpg,"Écran 15.6"" HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: FreeDos - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD ...",True,mytek,Tunisia,2026-01-02T16:13:28.689531,,,4.0,4Go,
59683,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD - Gris,839.0,TND,,0.0,LENOVO,[82LX00CFFG],https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-gris-mt.jpg,"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UH...",True,mytek,Tunisia,2026-01-02T16:13:28.690532,,,8.0,8Go,
66924,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256G SSD,839.0,TND,,0.0,LENOVO,[BU-82LX00CFFG-SAC],https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256g-ssd.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8-go-256go-ssd-gris-mt.jpg,"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UH...",True,mytek,Tunisia,2026-01-02T16:13:28.691531,,,8.0,8Go,
66930,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD - Bleu,839.0,TND,,0.0,LENOVO,[82LX00CKFG],https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-bleu_1.jpg,"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4-2933 - Disque Dur: 256 Go SSD - Carte Graphique: Int...",True,mytek,Tunisia,2026-01-02T16:13:28.692531,,,8.0,8Go,
67409,PC Portable LENOVO IdeaPad1 15IJL7 Intel Celeron N4500 8G 256G SSD,839.0,TND,,0.0,LENOVO,[BU-82LX00CKFG-SAC],https://www.mytek.tn/pc-portable-lenovo-ideapad1-15ijl7-intel-celeron-n4500-8g-256g-ssd.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad1-15ijl7-intel-celeron-n4500-8g-256g-ssd-mt.jpg,"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD...",True,mytek,Tunisia,2026-01-02T16:13:28.692531,,,,,
67719,PC Portable HP 15-fd0592nk Intel N100 8Go 256Go SSD - Noir,849.0,TND,,0.0,HP,[CB6C9EA],https://www.mytek.tn/pc-portable-hp-15-fd0592nk-intel-n100-8go-256go-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0592nk-intel-n100-8go-256go-ssd-noir.jpg,"Écran 15.6"" HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: FreeDos - Mémoire: 8 Go DDR4 - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics,...",True,mytek,Tunisia,2026-01-02T16:13:28.693531,,,8.0,8Go,
63776,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N 4500 8Go 256G SSD - Gris,859.0,TND,,0.0,LENOVO,[82LX00G4FG],https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n-4500-8go-256g-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n-4500-8go-256g-ssd-gris.jpg,"PC Portable LENOVO IdeaPad 1 - Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go ...",True,mytek,Tunisia,2026-01-02T16:13:28.694531,,,8.0,8Go,
67722,PC Portable HP 15-fd0590nk Intel N100 4Go 256Go SSD - Bleu,859.0,TND,,0.0,HP,[CB6C7EA],https://www.mytek.tn/pc-portable-hp-15-fd0590nk-intel-n100-4go-256go-ssd-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0590nk-intel-n100-4go-256go-ssd-bleu-1.jpg,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4 - Disque dur: 256 Go SSD - Carte graphique: Int...",True,mytek,Tunisia,2026-01-02T16:13:28.695531,,,4.0,4Go,
67729,PC Portable HP 15-fd0591nk Intel N100 4Go 256Go SSD - Gris,859.0,TND,,0.0,HP,[CB6C8EA],https://www.mytek.tn/pc-portable-hp-15-fd0591nk-intel-n100-4go-256go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0591nk-intel-n100-4go-256go-ssd-gris.jpg,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4 - Disque dur: 256 Go SSD - Carte graphique: Int...",True,mytek,Tunisia,2026-01-02T16:13:28.695531,,,4.0,4Go,
68274,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256G SSD - Gris,859.0,TND,,0.0,LENOVO,[82LX00GYFG-2Y],https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256g-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256g-ssd-gris--a.jpg,"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  G DDR4 - Disque Dur: 256Go SSD - Carte Graphique: Intel...",True,mytek,Tunisia,2026-01-02T16:13:28.696531,,,,,
59927,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256Go SSD - Gris,879.0,TND,,0.0,LENOVO,[82LX00CEFG],https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-gris-mp.jpg,"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphiqu...",True,mytek,Tunisia,2026-01-02T16:13:28.697532,,,256.0,256Go,
63198,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256Go SSD,879.0,TND,,0.0,LENOVO,[82LX00EBFG],https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-mt.jpg,"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UH...",True,mytek,Tunisia,2026-01-02T16:13:28.698531,,,256.0,256Go,
